model,make,model_variant,price,amps,form_factor,cord_length,home_outlet,plug_types,wifi,warranty,safe_outdoors,made_in_america,has_discount,certifications,volts_ac,kw_ac
CSE1,Cyber Switching,11.5kW w/ 4G,1220,48.0,Wall mounted,18,Hardwired,J1772,False,0,True,False,False,"Energy Star, ETL, UL",240.0,11.5
EV700,TurnOnGreen,S18-NEMA 6-50,599,32.0,Wall mounted,18,6-50,J1772,True,3,True,False,False,"Energy Star, TUV",240.0,7.6
EV700,TurnOnGreen,S18-NEMA 14-50,599,32.0,Wall mounted,18,14-50,J1772,True,3,True,False,False,"Energy Star, TUV",240.0,7.6
Smart Home EV Charger,Emporia,,399,48.0,Wall mounted,24,"14-50, Hardwired",J1772,True,3,True,False,False,"cUL, Energy Star, NEC, UL",240.0,11.5
Booster 2,J+,,467,40.0,Portable,25,"6-20, 6-50, 14-30, 14-50",J1772,False,0,True,False,False,UL,240.0,9.6
Mobile Connector,Tesla,,250,32.0,Portable,20,14-50,"Tesla,NACS",False,4,False,False,False,UL,240.0,7.6
AC-5500G,PowerPump,,1190,40.0,Wall mounted,25,14-50,J1772,True,2,True,True,False,"Energy Star, UL",240.0,10.0
AC-5500,PowerPump,,995,40.0,Wall mounted,25,14-50,J1772,True,2,True,True,False,"Energy Star, UL",240.0,10.0
Terra AC,ABB,W7-P8-R-C-0,713,32.0,Wall mounted,25,Hardwired,J1772,True,2,True,False,False,"CE, Energy Star, UL",240.0,7.7
Terra AC,ABB,W7-P8-R-D-0,713,32.0,Wall mounted,25,Hardwired,J1772,True,2,True,False,False,"CE, Energy Star, UL",240.0,7.7
Terra AC,ABB,W7-P8-R-CD-0,613,32.0,Wall mounted,25,Hardwired,J1772,True,2,True,False,False,"CE, Energy Star, UL",240.0,7.7
Terra AC,ABB,W7-P8-RD-MD-0,614,32.0,Wall mounted,25,Hardwired,J1772,True,2,True,False,False,"CE, Energy Star, UL",240.0,7.7
Terra AC,ABB,W7-P8-RD-MD-0,790,32.0,Wall mounted,25,Hardwired,J1772,True,2,True,False,False,"CE, Energy Star, UL",240.0,7.7
Level 2 EV Charger,PRIMECOM,16A 30',299,16.0,Wall mounted,30,Hardwired,J1772,False,12,True,True,False,"CE, TUV, UL",240.0,3.8
Level 2 EV Charger Adjustable Amps,PRIMECOM,32A 30',549,32.0,Wall mounted,30,"6-50,10-50,14-50",J1772,False,12,True,True,False,"CE, TUV, UL",240.0,7.2
Level 2 Smart EV Charger,PRIMECOM,32A 25',489,32.0,Wall mounted,25,"6-50,10-50,14-50,Hardwired",J1772,False,12,True,True,False,"CE, TUV",240.0,7.2
Level 2 EV Charger,PRIMECOM,40A 30',599,40.0,Wall mounted,30,"6-50,10-50,14-50",J1772,False,12,True,True,False,"CE, TUV",240.0,9.6
Level 2 Smart EV Charger,PRIMECOM,40A 25',549,40.0,Wall mounted,25,"6-50,10-50,14-50,Hardwired",J1772,False,12,True,True,False,"CE, TUV",240.0,9.6
Level 2 EV Charger Adjustable Amps,PRIMECOM,50A 25',799,50.0,Wall mounted,25,"6-50,10-50,14-50,Hardwired",J1772,False,12,True,True,False,"CE, TUV, UL",240.0,12.0
"Electric Vehicle Charger, 30A",Hubbell Wiring Device Kellems,,799,30.0,Wall mounted,20,Hardwired,J1772,False,0,False,True,False,"cUL, UL",240.0,7.2
AxFAST 32A,Accell,,549,32.0,Portable,25,14-50,J1772,False,2,True,False,False,"FCC, UL",240.0,7.68
AxFAST 16A,Accell,,290,16.0,Portable,25,6-20,J1772,False,1,True,False,False,"FCC, UL",240.0,3.84
7.2kW Portable Level 1/Level 2 AC Charger,Lightning eMotors,,550,32.0,Portable,25,"5-15,14-50",J1772,False,2,True,False,False,"cUL, ETL, FCC, NEC, UL",240.0,7.2
