model,charger_id,make,model_variant,price,price_src,amps,form_factor,cord_length,home_outlet,plug_types,wifi,warranty,safe_outdoors,made_in_america,details_link,spec_src,img,has_discount,discount_value,discount_code,certifications,volts_ac,kw_ac,incentives
EVSE,EvoCharge_EVSE_18_ft,EvoCharge,18',599,https://evocharge.com/product/evocharge-evse/,32.0,Wall mounted,18,"6-50, Hardwired",J1772,False,3,True,True,https://evocharge.com/product/evocharge-evse/,,https://assets.zappyride.com/img/chargers/EvoCharge%20EVSE.png,False,0,,"cUL, UL",240.0,7.7,[]
EVSE,EvoCharge_EVSE_25_ft,EvoCharge,25',599,https://evocharge.com/product/evocharge-evse/,32.0,Wall mounted,25,"6-50, Hardwired",J1772,False,3,True,True,https://evocharge.com/product/evocharge-evse/,,https://assets.zappyride.com/img/chargers/EvoCharge%20EVSE.png,False,0,,"cUL, UL",240.0,7.7,[]
iEVSE,EvoCharge_iEVSE_18_ft,EvoCharge,18',659,https://evocharge.com/product/evocharge-ievse/,32.0,Wall mounted,18,"6-50, Hardwired",J1772,True,3,True,True,https://evocharge.com/product/evocharge-ievse/,,https://assets.zappyride.com/img/chargers/EvoCharge%20EVSE.png,False,0,,"cUL, UL",240.0,7.7,[]
iEVSE,EvoCharge_iEVSE_25_ft,EvoCharge,25',599,https://evocharge.com/product/evocharge-ievse/,32.0,Wall mounted,25,"6-50, Hardwired",J1772,True,3,True,True,https://evocharge.com/product/evocharge-ievse/,,https://assets.zappyride.com/img/chargers/EvoCharge%20EVSE.png,False,0,,"cUL, UL",240.0,7.7,[]
SmartElek,Smartenit_SmartElek,Smartenit,,499,https://smartenit.com/shop/smartelek/,30.0,Portable,23,6-50,J1772,True,3,True,False,https://smartenit.com/shop/smartelek/,,https://assets.zappyride.com/img/chargers/Smartenit%20SmartElek.png,False,0,,"CSA, ETL, UL",240.0,7.2,[]
AW Series,Phihong_AW_Series_LU770,Phihong,LU770,1078,estimate,32.0,Wall mounted,16,Hardwired,J1772,True,1,True,False,https://www.phihong.com/aw-series/,https://www.phihong.com/wp-content/uploads/AW_Series_32A_AC_Charger.pdf,https://assets.zappyride.com/img/chargers/Phihong%20AW%20Series.png,False,0,,"cUL, FCC, UL",240.0,7.7,[]
Energy,PowerCharge_Energy_25_ft,PowerCharge,25',609,https://www.evchargesolutions.com/PowerCharge-Energy-Residential-Level-2-EV-Charger-p/e20swe.htm,32.0,Wall mounted,25,"6-50, Hardwired",J1772,False,3,True,False,https://www.evchargesolutions.com/PowerCharge-Energy-Series-EV-Charging-Station-p/e20swe.htm,,https://assets.zappyride.com/img/chargers/PowerChargeEnergy.png,False,0,,"cUL, UL",240.0,7.6,[]
Connected Charge Station,Ford_Connected_Charge_Station,Ford,48A,799,https://chargers.ford.com/products/ford-connected-charge-station,48.0,Wall mounted,20,Hardwired,J1772,True,3,True,False,https://chargers.ford.com/products/ford-connected-charge-station,https://www.ford.com/support/how-tos/electric-vehicles/home-charging/what-is-a-ford-connected-charge-station/,https://assets.zappyride.com/img/chargers/Ford%20Connected%20Charge%20Station.png,False,0,,ETL,240.0,11.5,[]
CSE1,Cyber_Switching_CSE1_10kw_wifi,Cyber Switching,10kW w/ WiFi,1220,https://cyberswitching.com/product/cyber-ev-charger-cse1/,40.0,Wall mounted,18,Hardwired,J1772,True,0,True,False,https://cyberswitching.com/product/cyber-ev-charger-cse1/,https://cyberswitching.com/ev-charging-station/,https://assets.zappyride.com/img/chargers/Cyber%20Switching%20CSE1.png,False,0,,"Energy Star, ETL, UL",240.0,10.0,[]
CSE1,Cyber_Switching_CSE1_11.5kw_wifi,Cyber Switching,11.5kW w/ WiFi,1220,https://cyberswitching.com/product/cyber-ev-charger-cse1/,48.0,Wall mounted,18,Hardwired,J1772,True,0,True,False,https://cyberswitching.com/product/cyber-ev-charger-cse1/,https://cyberswitching.com/ev-charging-station/,https://assets.zappyride.com/img/chargers/Cyber%20Switching%20CSE1.png,False,0,,"Energy Star, ETL, UL",240.0,11.5,[]
